,Brand,Year,Model,Car/Suv,UsedOrNew,Transmission,DriveType,FuelType,FuelConsumption,Kilometres,CylindersinEngine,BodyType,Doors,Seats,Price,EngineL,CarAge,State
0,Ssangyong,2022.0,Rexton,Sutherland Isuzu Ute,DEMO,Automatic,AWD,Diesel,8.7,5595.0,4,SUV,4,7,51990.0,2.2,2,NSW
1,MG,2022.0,MG3,Hatchback,USED,Automatic,Front,Premium,6.7,16.0,4,Hatchback,5,5,19990.0,1.5,2,NSW
2,BMW,2022.0,430I,Coupe,USED,Automatic,Rear,Premium,6.6,8472.0,4,Coupe,2,4,108988.0,2.0,2,NSW
3,Mercedes-Benz,2011.0,E500,Coupe,USED,Automatic,Rear,Premium,11.0,136517.0,8,Coupe,2,4,32990.0,5.5,13,NSW
4,Renault,2022.0,Arkana,SUV,USED,Automatic,Front,Unleaded,6.0,1035.0,4,SUV,4,5,34990.0,1.3,2,NSW
6,Land,2017.0,Rover,SUV,USED,Automatic,AWD,Diesel,5.1,67662.0,4,SUV,2,4,62280.0,2.0,7,NSW
7,Nissan,2000.0,Pulsar,Hatchback,USED,Automatic,Front,Unleaded,8.0,300539.0,4,Hatchback,5,5,2995.0,1.6,24,NSW
8,Toyota,2013.0,86,Coupe,USED,Automatic,Rear,Premium,7.1,82012.0,4,Coupe,2,4,24888.0,2.0,11,NSW
9,Honda,2014.0,Jazz,Hatchback,USED,Automatic,Front,Hybrid,4.5,38229.0,4,Hatchback,5,5,17900.0,1.3,10,NSW
11,Toyota,2018.0,HiAce,Commercial,USED,Automatic,Rear,Unleaded,9.8,16324.0,4,Commercial,4,2,41999.0,2.7,6,NSW
14,Toyota,2016.0,HiAce,Commercial,USED,Automatic,Rear,Diesel,8.0,229829.0,4,Commercial,4,2,27995.0,3.0,8,NSW
15,Volkswagen,2012.0,Golf,Hatchback,USED,Automatic,Front,Premium,6.2,55676.0,4,Hatchback,5,5,14999.0,1.4,12,NSW
16,BMW,2014.0,X3,SUV,USED,Automatic,4WD,Diesel,5.6,82624.0,4,SUV,4,5,24985.0,2.0,10,NSW
18,BMW,2011.0,118D,Hatchback,USED,Automatic,Rear,Diesel,5.4,95204.0,4,Hatchback,5,5,13999.0,2.0,13,NSW
19,Ford,2014.0,Fiesta,Hatchback,USED,Automatic,Front,Unleaded,5.4,76289.0,3,Hatchback,5,5,12400.0,1.0,10,NSW
20,Mitsubishi,2012.0,Outlander,SUV,USED,Automatic,AWD,Unleaded,7.5,219681.0,4,SUV,4,7,13999.0,2.4,12,NSW
21,Ford,2013.0,Fiesta,Hatchback,USED,Automatic,Front,Unleaded,6.1,98079.0,4,Hatchback,5,5,11999.0,1.6,11,NSW
22,Volkswagen,2023.0,Amarok,Alto Volkswagen New Cars,NEW,Automatic,AWD,Diesel,8.4,15.0,6,Ute / Tray,4,5,83887.0,3.0,1,NSW
23,Honda,2018.0,Jazz,Hatchback,USED,Automatic,Front,Unleaded,5.8,43274.0,4,Hatchback,5,5,19900.0,1.5,6,NSW
24,Subaru,2012.0,Outback,SUV,USED,Automatic,AWD,Premium,8.4,105672.0,4,SUV,4,5,17990.0,2.5,12,NSW
25,Mitsubishi,2018.0,Mirage,Hatchback,USED,Automatic,Front,Unleaded,4.7,36836.0,3,Hatchback,5,5,14995.0,1.2,6,NSW
26,Toyota,2005.0,Camry,Sedan,USED,Automatic,Front,Unleaded,9.8,115821.0,4,Sedan,4,5,8499.0,2.4,19,NSW
28,Hyundai,2011.0,I45,Sedan,USED,Automatic,Front,Unleaded,7.9,189711.0,4,Sedan,4,5,12990.0,2.4,13,NSW
29,Ford,2015.0,Territory,SUV,USED,Automatic,Rear,Diesel,8.2,173786.0,6,SUV,4,7,16999.0,2.7,9,NSW
30,Nissan,2018.0,Qashqai,SUV,USED,Automatic,Front,Unleaded,6.9,114301.0,4,SUV,4,5,21950.0,2.0,6,NSW
31,Volkswagen,2013.0,Golf,Hatchback,USED,Manual,Front,Premium,6.6,69197.0,4,Hatchback,5,5,24880.0,2.0,11,NSW
33,Hyundai,2015.0,Tucson,SUV,USED,Automatic,Front,Unleaded,7.9,94377.0,4,SUV,4,5,23888.0,2.0,9,NSW
34,Ford,2016.0,Focus,Hatchback,USED,Automatic,Front,Unleaded,6.2,94965.0,4,Hatchback,5,5,16999.0,1.5,8,NSW
35,Nissan,2019.0,X-Trail,SUV,USED,Automatic,Front,Unleaded,8.1,99294.0,4,SUV,4,7,24490.0,2.5,5,NSW
36,Toyota,2021.0,Corolla,Hatchback,USED,Automatic,Front,Hybrid,4.2,13694.0,4,Hatchback,5,5,44878.0,1.8,3,NSW
37,Toyota,2007.0,Yaris,Sedan,USED,Automatic,Front,Unleaded,6.7,264691.0,4,Sedan,4,5,7949.0,1.5,17,NSW
39,Toyota,2010.0,Corolla,Hatchback,USED,Manual,Front,Unleaded,7.7,238270.0,4,Hatchback,5,5,8800.0,1.8,14,NSW
41,Jeep,2015.0,Patriot,SUV,USED,Automatic,4WD,Unleaded,9.1,140964.0,4,SUV,4,5,13990.0,2.4,9,NSW
42,Toyota,2003.0,HiAce,Commercial,USED,Automatic,Rear,Unleaded,0.0,266848.0,4,Commercial,4,3,9999.0,2.4,21,NSW
43,Volvo,2013.0,S60,Sedan,USED,Automatic,Front,Premium,7.4,141000.0,4,Sedan,4,5,14999.0,1.6,11,NSW
